COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
SC313502,การออกแบบภาษาโปรแกรม,PROGRAMMING LANGUAGE DESIGN,3,3,3
SC313503,การเขียนซอฟต์แวร์อัตโนมัติ,AUTOMATIC PROGRAMMING,3,3,3
SC313504,การประกันคุณภาพซอฟต์แวร์,SOFTWARE QUALITY ASSURANCE,3,3,3
SC313505,การปรับปรุงและประเมินกระบวนการซอฟต์แวร์,SOFTWARE PROCESS APPRAISALS AND IMPROVEMENT,3,3,3
SC313761,สัมมนาทางวิทยาการคอมพิวเตอร์,SEMINAR IN COMPUTER SCIENCE,1,1,1
SC313762,ระเบียบวิธีวิจัย,RESEARCH METHODOLOGY,3,3,3
SC411224,ภาษาอังกฤษเทคนิคสำหรับวิทยาศาสตร์และเทคโนโลยี 2,TECHNICAL ENGLISH FOR SCIENCES AND TECHNOLOGY II,3,3,3
SC310002,โครงสร้างข้อมูล,DATA STRUCTURES,3,3,3
SC338872,ทรัพยากรที่ดินและสิ่งแวดล้อม,LAND RESOURCES AND ENVIRONMENT,3,3,3
SC338883,ระบบการจัดการฐานข้อมูลและมาตรฐานระบบสารสนเทศภูมิศาสตร์,DATABASE MANAGEMENT SYSTEM AND GEOGRAPHIC INFORMATION SYSTEM STANDARD,3,3,3
SC337892,สัมมนาทางการรับรู้จากระยะไกลและระบบสารสนเทศภูมิศาสตร์ 2,REMOTE SENSING AND GEOGRAPHICIINFORMATION SYSTEM SEMINAR II,1,1,1
SC337897,การศึกษาอิสระ,INDEPENDENT STUDY,6,6,6
SC337899,วิทยานิพนธ์,THESIS,1,12,12
SC338863,การรับรู้จากระยะไกลไมโครเวฟ,MICROWAVE REMOTE SENSING,3,3,3
SC348701,แบบจำลองข้อมูลและการจัดการข้อมูล,Data Modeling and Management,3,3,3
342264,เทคโนโลยีเคลื่อนที่และไร้สาย,MOBILE AND WIRELESS TECHNOLOGY,3,3,3
342266,การพัฒนาโปรแกรมประยุกต์บนเว็บสำหรับอุปกรณ์เคลื่อน,MOBILE WEB APPLICATION DEVELOPMENT,3,3,3
SC312103,การค้นคืนสารสนเทศ,INFORMATION RETRIEVAL,3,3,3
SC312301,เครือข่ายการสื่อสารไร้สายและอุปกรณ์เคลื่อนที่,WIRELESS AND MOBILE COMMUNICATION NETWORKS,3,3,3
SC312302,เทคโนโลยีการออกแบบเว็บ,WEB DESIGN TECHNOLOGIES,3,3,3
SC312303,การพัฒนาแอปพลิเคชันบนอุปกรณ์เคลื่อนที่,MOBILE APPLICATION DEVELOPMENT,3,3,3
SC312401,พาณิชย์อิเล็กทรอนิกส์และโปรแกรมประยุกต์,ELECTRONIC COMMERCE AND APPLICATIONS,3,3,3
SC311001,วิทยาการคอมพิวเตอร์หลักมูล,FUNDAMENTALS OF COMPUTER SCIENCE,3,3,3
SC311002,การเขียนโปรแกรมเชิงโครงสร้างสำหรับวิทยาการคอมพิวเตอร์,STRUCTURED PROGRAMMING FOR COMPUTER SCIENCE,3,3,3
SC331021,เทคโนโลยีสารสนเทศขั้นพื้นฐาน,BASICS OF INFORMATION TECHNOLOGY,3,3,3
SC331001,หลักมูลภูมิสารสนเทศศาสตร์,FUNDAMENTALS OF GEO-INFORMATICS,3,3,3
SC338884,ระบบสารสนเทศภูมิศาสตร์บนอินเตอร์เน็ต,INTERNET GEOGRAPHIC INFORMATION SYSTEM,3,3,3
SC338888,ระบบสารสนเทศภูมิศาสตร์สำหรับการวางผังเมือง,GEOGRAPHIC INFORMATION SYSTEM FOR URBAN PLANNING,3,3,3
SC338894,ปัญหาพิเศษทางภูมิสารสนเทศศาสตร์,SPECIAL PROBLEMS IN GEO-INFORMATICS,3,3,3
SC313303,การพัฒนาโปรแกรมประยุกต์สำหรับองค์กร,ENTERPRISE APPLICATION DEVELOPMENT,3,3,3
SC312501,การเขียนโปรแกรมภาษาจาวาขั้นสูง,ADVANCE PROGRAMMING IN JAVA,3,3,3
SC310001,การเขียนโปรแกรมคอมพิวเตอร์ 1,COMPUTER PROGRAMMING I,3,3,3
SC333302,การประยุกต์ทำแผนที่บนเว็บ,WEB MAPPING APPLICATION,3,3,3
SC333303,การออกแบบและมาตรฐานของฐานข้อมูลเชิงพื้นที่,DESIGN AND STANDARD GEO-SPATIAL DATABASE,3,3,3
SC332211,รูปถ่ายทางอากาศและการแปลความหมาย,AERIAL PHOTOGRAPH AND INTERPRETATION,3,3,3
SC331032,ภูมิศาสตร์กายภาพ,"PHYSICAL GEOGRAPHY
PHYSICAL",3,3,3
SC312005,เครือข่ายคอมพิวเตอร์,COMPUTER NETWORKS,3,3,3
SC312006,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHM,3,3,3
SC312101,การเรียนรู้เชิงเครื่องจักรสำหรับวิทยาการข้อมูล,MACHINE LEARNING FOR DATA SCIENCE,3,3,3
SC312102,การจัดการความรู้,KNOWLEDGE MANAGEMENT,3,3,3
SC312001,โครงสร้างข้อมูล,DATA STRUCTURES,3,3,3
SC312002,การโต้ตอบระหว่างมนุษย์และคอมพิวเตอร์,HUMAN COMPUTER INTERACTION,3,3,3
SC312201,พื้นฐานการเขียนโปรแกรมเกม,BASIC OF GAME PROGRAMMING,3,3,3
SC311503,การเขียนโปรแกรมสคริปต์,SCRIPT PROGRAMMING,3,3,3
340728,แนวคิด ทฤษฎี และการประยุกต์ข้อมูลขนาดใหญ่,"BIG DATA CONCEPTS, THEORIES AND APPLICATIONS",3,3,3
342267,การเขียนโปรแกรมอุปกรณ์เคลื่อนที่,MOBILE DEVICE PROGRAMMING,3,3,3
SC312003,ระบบจัดการฐานข้อมูลและการออกแบบฐานข้อมูล,DATABASE MANAGEMENT SYSTEM AND DATABASE DESIGN,3,3,3
SC312004,ปฏิบัติการระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN LABORATORY,1,1,1
SC363102,ระบบธุรกิจอัจฉริยะ,Business Intelligence System,3,3,3
SC334703,โครงงานวิจัยทางภูมิสารสนเทศศาสตร์,RESEARCH PROJECT IN GEO-INFORMATICS,3,3,3
SC310003,ระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN,3,3,3
SC310004,ปฎิบัติการระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN LABORATORY,1,1,1
SC312401,การพาณิชย์อิเล็กทรอนิกส์,ELECTRONIC COMMERCE,3,3,3
SC314774,โครงงานวิทยาการคอมพิวเตอร์ 1,COMPUTER SCIENCE PROJECT I,3,3,3
SC348701,แบบจำลองข้อมูลและการจัดการข้อมูล,Data Modeling and Management,2,2,2
SC348702,การเรียนรู้ของเครื่อง,Machine Learning,3,3,3
SC348703,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิทยาการข้อมูลและปัญญาประดิษฐ์,Computer Programming for Data Science and Artificial Intelligence,2,2,2
SC310006,การพัฒนาโปรแกรมประยุกต์สำหรับอุปกรณ์เคลื่อนที่และเว็บ,Mobile and Web Application Development,3,3,3
SC328781,ระเบียบวิธีวิจัย,Research Methodology,3,3,3
SC328811,ภาษาโปรแกรม,Programming Languages,3,3,3
SC328812,การพัฒนาโปรแกรมประยุกต์ข้ามแพลตฟอร์ม,Cross-Platform Application Development,3,3,3
SC328813,การพัฒนาโปรแกรมประยุกต์บนเว็บขั้นสูง,Advanced Web Application Development,3,3,3
SC328821,ทฤษฎีการคำนวณ,Theory of Computation,3,3,3
SC328822,การวิเคราะห์และออกแบบขั้นตอนวิธี,Algorithm Analysis and Design,3,3,3
SC329971,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ 1,Special Topics in Computer Science and Information Technology I,3,3,3
SC329972,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ 2,Special Topics in Computer Science and Information Technology II,3,3,3
SC329973,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ 3,Special Topics in Computer Science and Information Technology III,3,3,3
SC329981,ระเบียบวิธีวิจัย,Research Methodology,3,3,3
SC329991,สัมมนาดุษฎีนิพนธ์ 1,Dissertation Seminar I,1,1,1
SC329992,สัมมนาดุษฎีนิพนธ์ 2,Dissertation Seminar II,1,1,1
SC329993,สัมมนาดุษฎีนิพนธ์ 3,Dissertation Seminar III,1,1,1
SC329996,ดุษฎีนิพนธ์,Dissertation,1,54,54
SC329997,ดุษฎีนิพนธ์,Dissertation,1,72,72
SC329998,ดุษฎีนิพนธ์,Dissertation,1,42,42
SC329999,ดุษฎีนิพนธ์,Dissertation,1,48,48
SC320002,ธุรกิจอัจฉริยะ: การจัดการกระบวนการอย่างอัจฉริยะ,Business Intelligence: Smart Process Management,6,6,6
SC310005,การประยุกต์ปัญญาประดิษฐ์และการเรียนรู้ของเครื่อง,Artificial Intelligence and Machine Learning Application,3,3,3
SC332002,ระบบสารสนเทศภูมิศาสตร์ขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3,3,3
SC332101,ภูมิสารสนเทศศาสตร์สำหรับชีวิตประจำวัน,GEO-INFORMATICS FOR DAILY LIFE,2,2,2
SC332011,หลักมูลการรับรู้จากระยะไกล,FUNDAMENTALS OF REMOTE SENSING,3,3,3
SC332131,ระบบนิเวศป่าไม้และการจัดการ,FOREST ECOSYSTEMS AND MANAGEMENT,3,3,3
SC331031,ธรณีวิทยาขั้นแนะนำ,INTRODUCTION TO GEOLOGY,2,2,2
SC333301,การเขียนโปรแกรมในระบบสารสนเทศภูมิศาสตร์,PROGRAMMING IN GEOGRAPHIC INFORMATION SYSTEM,3,3,3
SC348705,ธุรกิจอัจฉริยะและการวิเคราะห์,Business Intelligence and Analytics,3,3,3
SC348801,การแทนความรู้,Knowledge Representation,3,3,3
SC348804,การหาค่าที่เหมาะสมแบบหลายเกณฑ์และการวิเคราะห์การตัดสินใจ,Multicriteria Optimization and Decision Analysis,3,3,3
SC348805,ภาษาศาสตร์คอมพิวเตอร์,Computation Linguistics,3,3,3
SC348806,แนวโน้มในการเรียนรู้ของเครื่อง,Recent Trends in Machine Learning,3,3,2
SC348807,การวิเคราะห์เครือข่ายสังคม,Social Network Analysis,3,3,3
SC348809,ระบบกระจาย,Distributed Systems,3,3,3
SC348811,การวิเคราะห์ข้อมูลเชิงพื้นที่และเชิงเวลา,Spatial Temporal Data Analysis,3,3,3
SC348897,การศึกษาอิสระ,Independent Study,6,6,6
SC348898,วิทยานิพนธ์,Thesis,1,38,38
SC332103,ระบบดาวเทียมนำทางสากลขั้นแนะนำ,INTRODUCTION TO GLOBAL NAVIGATION SATELLITE SYSTEM,3,3,3
322444,การวิเคราะห์ข้อมูลขนาดใหญ่โดยแรพพิดไมเนอร์,BIG DATA ANALYTICS USING RAPIDMINER,3,3,3
SC337862,การประมวลผลภาพเชิงเลข,DIGITAL IMAGE PROCESSING,3,3,3
SC337891,สัมมนาทางการรับรู้จากระยะไกลและระบบสารสนเทศ สัมมนาทางการรับรู้จากระยะไกลและระบบสารสนเทศภูมิศาสตร์ 1,REMOTE SENSING AND GEOGRAPHIC INFORMATION SYSTEM SEMINAR I,3,1,1
SC314785,สหกิจศึกษาทางวิทยาการคอมพิวเตอร์,CO-OPERATIVE EDUCATION IN COMPUTER SCIENCE,6,6,6
SC314775,โครงงานวิทยาการคอมพิวเตอร์ 2,COMPUTER SCIENCE PROJECT II,3,3,3
SC322301,ตรรกะดิจิทัลและระบบฝังตัว,DIGITAL LOGIC AND EMBEDDED SYSTEMS,3,3,3
SC323004,การบริหารโครงการ,PROJECT MANAGEMENT,3,3,3
SC323107,การเป็นผู้ประกอบการเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY ENTREPRENEURSHIP,3,3,3
SC348704,ปัญญาประดิษฐ์,Artificial Intelligence,3,3,3
SC348810,การพัฒนาซอฟต์แวร์และการจัดการโครงการสำหรับวิทยาการข้อมูลและปัญญาประดิษฐ์,Software Development and Project Management for Data Science and Artificial Intelligence,3,3,3
SC313103,การวิเคราะห์วิทยาข้อมูลและการทำเหมืองข้อมูล,DATA ANALYTICS AND MINING,3,3,3
SC319911,การออกแบบภาษาโปรแกรม,PROGRAMMING LANGUAGE DESIGN,3,3,3
SC319912,การเขียนโปรแกรมแบบขนาน,PARALLEL PROGRAMMING,3,3,3
SC319921,คณิตศาสตร์ดิสครีตขั้นสูง,ADVANCED DISCRETE MATHEMATICS,3,3,3
SC319922,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3,3,3
SC319923,การออกแบบและวิเคราะห์ขั้นตอนวิธี,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,3
SC319924,การวิเคราะห์เชิงตัวเลขและการประยุกต์,NUMERICAL ANALYSIS AND APPLICATIONS,3,3,3
SC319925,ทฤษฎีของระบบปฏิบัติการ,THEORY OF OPERATING SYSTEM,3,3,3
SC319926,วิธีสถิติแบบหลายตัวแปร,MULTIVARIATE STATISITCAL METHODS,3,3,3
